,0
1218,US7363872-0
1219,US4399554-0
1220,US11396718-0
1221,US5717630-0
1222,US11249706-0
1223,US6948888-0
1224,US7905808-0
1225,US9405353-0
1226,US8970287-0
1227,US10729195-0
1228,US10357806-0
1229,US5143870-0
1230,US7625339-0
1231,US5648292-0
1232,US6058596-0
1233,USD435129-0
1234,US10948018-0
1235,US8969670-0
1236,US9757107-0
1237,US9301456-0
1238,US10549771-1
1239,US7005138-0
1240,US5609893-0
1241,US10042235-0
1242,US7815314-0
1243,US7062110-0
1244,US6939958-0
1245,US10096257-1
1246,US7363192-0
1247,US7153283-0
1248,US11118983-0
1249,US8566580-0
1250,US6069438-0
1251,USD394280-0
1252,US8055288-0
1253,US9637892-0
1254,US4287979-0
1255,US8031762-0
1256,US7028673-1
1257,USD880550-0
1258,US8234126-0
1259,US5888492-0
1260,US11075659-0
1261,US6637655-0
1262,US7515232-0
1263,US7064109-0
1264,USD387995-0
1265,US10792492-0
1266,US10305122-0
1267,USD712254-0
1268,US10687936-0
1269,US9954798-0
1270,US7230517-0
1271,US4361813-0
1272,US8923923-0
1273,US7567888-0
1274,USD867920-0
1275,US6699870-0
1276,US5962904-0
1277,US6424965-0
1278,US8655116-0
1279,US10700865-0
1280,US6784071-0
1281,US8989244-0
1282,US10376847-0
1283,USD611134-0
1284,US8786271-0
1285,US7413157-1
1286,US6785959-0
1287,US8730821-0
1288,USD921982-0
1289,US8710694-0
1290,US10549390-0
1291,US8254545-0
1292,US5613347-0
1293,US8603764-0
1294,USD692433-0
1295,US9930987-0
1296,US5910928-0
1297,US5528129-0
1298,US8040555-0
1299,US9656008-0
1300,US7134169-0
1301,US7777760-0
1302,US11229437-0
1303,US8552386-0
1304,US6798603-0
1305,US5151548-0
1306,US8941373-0
1307,USD285191-0
1308,US9993914-0
1309,US8484144-0
1310,US10859225-0
1311,USD430803-0
1312,US4862710-0
1313,US4683441-0
1314,US8398085-0
1315,US6855592-0
1316,US4327445-0
1317,US8744487-0
1318,US6969878-0
1319,US3983289-1
1320,US7178494-0
1321,US10219836-0
1322,US8758127-0
1323,US8294302-0
1324,US7653392-0
1325,US4234739-0
1326,US4516104-0
1327,US10531684-0
1328,US10147695-0
1329,US8836632-0
1330,US4914247-0
1331,US10534278-0
1332,US8153392-0
1333,US4636672-0
1334,US6771110-0
1335,US8410126-0
1336,US11130561-0
1337,US4537902-0
1338,US10327376-0
1339,US10608764-2
1340,US9561999-0
1341,US11452904-0
1342,US7360116-0
1343,US7478877-0
1344,USD798341-0
1345,USD642107-0
1346,US8309984-0
1347,US5843669-0
1348,US8342652-0
1349,US9959232-0
1350,US9626132-0
1351,US7445257-0
1352,USD925265-0
1353,US5646054-0
1354,US8115010-0
1355,US4997676-0
1356,USRE46479-0
1357,US9705976-0
1358,US4100284-0
1359,US9168513-0
1360,US8525559-0
1361,US5695564-0
1362,USD437367-0
1363,US11263451-0
1364,US9324536-0
1365,US6698324-2
1366,US4934831-0
1367,USD877486-0
1368,US8035111-0
1369,US8099399-0
1370,US7546887-0
1371,USD814105-0
1372,US6237708-0
1373,US7088908-0
1374,USD539272-0
1375,US5176596-0
1376,US8690876-0
1377,US9294971-0
1378,US5504200-0
1379,US9080180-0
1380,US7347148-0
1381,US7383309-0
1382,US8847425-0
1383,US9415930-0
1384,US9085455-0
1385,US8311936-0
1386,US7932108-0
1387,US10258871-0
1388,US10770980-0
1389,US10011549-0
1390,US7662660-0
1391,US4884623-0
1392,US8845586-0
1393,US7113712-0
1394,US7804894-0
1395,US8896296-0
1396,US7903230-0
1397,US5446921-0
1398,US7148170-0
1399,US4890376-0
1400,US6939061-0
1401,US8496455-0
1402,US9822038-0
1403,US9331206-0
1404,US6249693-0
1405,US10739381-0
1406,US5425931-0
1407,US10692907-0
1408,US4626692-0
1409,US5806983-0
1410,US9816959-0
1411,US4430170-0
1412,US5503889-0
1413,US3957174-0
1414,US8594544-0
1415,US4769171-0
1416,US4585780-0
1417,US10533345-0
1418,US11215766-0
1419,US8196462-0
1420,US9626220-0
1421,USD577740-0
1422,USD283959-0
1423,US8463980-0
1424,US8503235-0
1425,US6044014-0
1426,US8896399-0
1427,US5611003-0
1428,US5588554-0
1429,US7885631-0
1430,US7803376-0
1431,US6894697-0
1432,US6091663-0
1433,US6703016-1
1434,USD719689-0
1435,US7378908-0
1436,US7036090-0
1437,US4447149-0
1438,US6832677-0
1439,US8812399-0
1440,US8196353-0
1441,US9082309-0
1442,USD413798-0
1443,US9275398-0
1444,US8519584-0
1445,US6538051-0
1446,US10112330-0
1447,US5632157-0
1448,US11438507-0
1449,US10899600-0
1450,US9213591-0
1451,US7284409-0
1452,US6708608-0
1453,USD557449-0
1454,USD789165-0
1455,US9634823-0
1456,US8101006-0
1457,US9745589-0
1458,US7909681-0
1459,US6348944-1
1460,US5643820-0
1461,US8838903-0
1462,US10246042-0
1463,US7206275-0
1464,US8884787-0
1465,US9045549-0
1466,US5120039-0
1467,US8167185-0
1468,US6811574-0
1469,US5924328-0
1470,US10313024-0
1471,US8129923-0
1472,USD516003-0
1473,US8988112-0
1474,US9032399-0
1475,USD683721-0
1476,US4613485-0
1477,USD529437-0
1478,US11361971-0
1479,US9644639-0
1480,US8006490-0
1481,US11379497-0
1482,US6408238-0
1483,US6136574-1
1484,US11307064-0
1485,US4546403-0
1486,US6756963-0
1487,US6708981-0
1488,US8942597-0
1489,US11045584-0
1490,US6845820-0
1491,US11276795-0
1492,US11382604-0
1493,US7314747-0
1494,US10700901-0
1495,USD902972-0
1496,US6471030-0
